Ticker,Category,SP-Rank,Morningstar,MS-Risk,NetAssets,YTD-return,Return-5Y-Avg,YearsUP,YearsDOWN,Best-1Y-Return,Worst-1Y-Return,Best-3Y-Return,Worst-3Y-Return,LAR-1Y,LAR-3Y,LAR-5Y,LAR-10Y,PropCash,PropStocks,PropBonds,PropOther,PropTop10Hold,EqHldPE,EqHldPB,EqHldPS,EqHldPCF,EqHldMedMktCap,EqHld3Y-EarnGr,PropBM,PropCC,PropFS,PropRE,PropCD,PropHC,PropU,PropCS,PropE,PropI,PropT,Best1Y-Return,Worst1Y-Return,Alpha1Y,Beta1Y,MeanRet1Y,R-square1Y,StdDev1Y,Sharpe1Y,Treynor1Y,Alpha3Y,Beta3Y,MeanRet3Y,R-square3Y,StdDev3Y,Sharpe3Y,Treynor3Y
OARGX,World Stock,5,2,4,2920000000,0.2616,0.1023,8,3,0.4843,-0.3899,0.2456,-0.0692,0.3911,0.1372,0.1023,0.0987,2.84,95.26,0,1.9,36.86,15.02,1.8,0.93,5.09," 16,090.00 ",0.1299,9.25,13.05,16.15,0,3.28,9.64,0,0,7.54,18.36,22.72,0.4843,-0.3899,5.67,0.89,1.19,88.34,16.4,0.86,15.36,3.98,0.96,1.03,88.76,22.63,0.54,10.51
OBSOX,Small Growth,2,8,5,8740000,0.3543,0.1293,11,5,1.1272,-0.5766,0.3129,-0.2819,0.2821,0.1875,0.1293,0.0665,3.3,96.7,0,0,23.7,19.98,2.52,1.34,7.36," 1,310.00 ",0.3029,2.05,15.29,4.39,0,7.2,7.26,0,0,2.25,25.47,36.08,1.1272,-0.5766,-1.18,1.27,1.58,72.36,18.48,1.02,14.74,1.1,1.32,1.32,80.53,26.6,0.59,9.7
OCINX,Conservative Allocation,4,1,4,1880000000,0.0414,0.0347,8,3,0.3311,-0.3722,0.1428,-0.1106,0.0364,0.0759,0.0347,0.0306,14.56,30.25,51.32,1.9,21.58,13.91,2.02,1.31,8.12," 34,840.00 ",0.1786,5.17,7.85,7.88,7.13,6.66,13,5.12,6.92,13.33,14.06,12.88,0.3311,-0.3722,3.06,0.46,0.62,82.09,4.33,1.7,16.18,-3.24,0.85,0.35,69.52,12.21,0.33,3.94
OCRDX,Large Blend,3,5,1,5570000000,0.1552,0.0677,15,4,0.2595,-0.3181,0.1395,-0.061,0.1492,0.1309,0.0677,0.0717,2.92,97.08,0,0,22.91,15.35,2.62,1.6,8.7," 50,650.00 ",0.183,4.15,12.43,16.41,0,7.37,14.94,1.51,1.48,10.64,10.74,20.33,0.2595,-0.3181,-2.98,1.01,1.1,97.94,12.7,1.03,12.84,-2.28,0.91,0.66,97.42,16.69,0.47,7.3
OEQNX,Large Growth,2,1,3,1500000000,0.1821,0.0767,8,3,0.3841,-0.4413,0.1434,-0.122,0.174,0.1295,0.0767,0.0587,1.84,98.16,0,0,19.04,15.63,2.03,1.55,7.01," 45,760.00 ",0.1635,1.15,14.71,15.16,0.44,8.26,14.5,2.05,1.62,8.53,10.17,23.41,0.3841,-0.4413,-3.78,1.06,1.09,97.68,13.31,0.98,12.13,-2.39,1.04,0.78,95.58,19.26,0.48,7.25
OGIAX,Moderate Allocation,3,4,1,4220000000,0.0894,0.0794,12,4,0.2309,-0.1959,0.1053,-0.0264,0.0499,0.0662,0.0695,0.0587,12.49,55.19,31.47,0.39,59.42,14.99,2.03,1.12,6.31," 28,500.00 ",0.1612,4.33,14.01,15.95,2.27,8.51,11.95,2.91,3.3,8.75,11.49,16.53,0.2309,-0.1959,-0.19,0.91,0.69,97.36,7.76,1.06,9.04,0.75,0.85,0.68,97.87,10.31,0.78,9.18
OGINX,World Stock,3,3,5,3100000000,0.2994,0.1425,8,3,0.753,-0.4211,0.3341,-0.1289,0.2788,0.1148,0.1425,0.1142,1.21,98.79,0,0,31.5,22.45,2.99,1.73,17.98," 3,820.00 ",0.1946,3.44,19.76,6.29,0,4.77,24.85,0,0,0,12.34,28.56,0.753,-0.4211,4.34,0.82,1.02,73.64,16.59,0.73,13.9,7.94,0.95,1.35,78.81,23.78,0.68,14.84
OIBFX,Moderate Allocation,4,4,1,4220000000,0.0912,0.0821,13,3,0.2336,-0.1937,0.1082,-0.0237,0.1018,0.0852,0.0821,0.0662,12.49,55.19,31.47,0.39,59.42,14.99,2.03,1.12,6.31," 28,500.00 ",0.1612,4.33,14.01,15.95,2.27,8.51,11.95,2.91,3.3,8.75,11.49,16.53,0.2336,-0.1937,0.05,0.91,0.71,97.49,7.75,1.09,9.32,0.99,0.85,0.7,97.94,10.32,0.81,9.49
OIGYX,Foreign Large Growth,5,1,2,11890000000,0.1824,0.1152,5,2,0.3844,-0.4122,0.1396,-0.0475,0.26,0.129,0.1152,0.1142,4.48,94.56,0,0.96,16.46,17.96,2.79,1.53,9.75," 12,200.00 ",0.1161,4.62,16.64,5.32,0,16.9,9.82,0.79,7.34,4.44,17.44,16.69,0.3844,-0.4122,4.82,0.9,1.12,92.67,16.18,0.83,14.29,5.18,0.92,1.1,95.45,20.88,0.62,12.38
OILVX,Large Blend,3,9,3,977910000,0.1922,0.091,7,2,0.2685,-0.3726,0.1284,-0.0789,0.1947,0.149,0.091,0.0776,2.58,97.31,0,0,20.35,13.37,2.35,1.36,6.54," 33,250.00 ",0.1661,4.34,10.92,18.87,2.04,13.72,11.2,0.18,1.87,13.66,14.54,8.65,0.2685,-0.3726,-2.09,1.06,1.24,97.05,13.41,1.1,13.92,-1.17,1.04,0.88,98.59,19.04,0.55,8.59
OLGAX,Large Growth,3,1,3,14250000000,0.2048,0.123,14,4,0.4433,-0.3972,0.1911,-0.2452,0.1134,0.1386,0.1109,0.0758,4.07,95.93,0,0,30.75,23.16,4.53,2.07,14.66," 47,070.00 ",0.2717,7.31,22.1,8.03,0.99,6.96,16.12,0,3.11,3.97,10.04,21.37,0.4433,-0.3972,-0.17,1,1.31,83.25,13.62,1.15,15.82,2.67,0.94,1.11,88.47,18.17,0.72,12.89
OLVCX,Large Value,3,7,4,715580000,0.2198,0.0926,8,5,0.3177,-0.3968,0.1471,-0.1152,0.2399,0.1423,0.0926,0.0633,1.54,98.46,0,0,29.7,13.3,1.56,0.97,5.42," 46,940.00 ",0.145,4.78,10.38,26.34,0.96,5.86,11.72,3.43,0.41,14.45,10.47,11.2,0.3177,-0.3968,-4.95,1.23,1.21,95.58,15.56,0.93,11.54,-1.37,1.1,0.91,96.59,20.18,0.54,8.34
OMECX,Mid-Cap Blend,3,1,3,1490000000,0.2436,0.1131,10,3,0.3505,-0.3606,0.2039,-0.0971,0.2701,0.1706,0.1131,0.0954,2.62,97.38,0,0,6.33,17.32,1.9,0.88,6.04," 2,960.00 ",0.1682,4.75,15.35,12.54,8.31,4.37,10.08,4.59,1.03,4.74,18.94,15.3,0.3505,-0.3606,-2.44,1.23,1.42,91.66,15.91,1.07,13.83,-0.15,1.2,1.11,92.62,22.63,0.58,9.29
ONCFX,Conservative Allocation,4,3,2,3770000000,0.0532,0.072,14,2,0.1849,-0.1203,0.0934,-0.0002,0.06,0.0621,0.072,0.0556,15.57,37.17,46.25,0.45,62.93,14.75,2.02,1.11,6.22," 27,520.00 ",0.1595,4.45,14.04,15.53,2.17,8.69,11.88,3.09,3.46,8.48,11.72,16.5,0.1849,-0.1203,0.64,0.59,0.51,95.5,5.1,1.19,10.39,2.27,0.56,0.6,96.44,6.82,1.04,12.64
ONRDX,Large Blend,3,5,1,5570000000,0.159,0.0724,9,2,0.2666,-0.3147,0.1452,-0.0378,0.154,0.1355,0.0724,0.0768,2.92,97.08,0,0,22.91,15.35,2.62,1.6,8.7," 50,650.00 ",0.183,4.15,12.43,16.41,0,7.37,14.94,1.51,1.48,10.64,10.74,20.33,0.2666,-0.3147,-2.56,1.01,1.13,97.9,12.7,1.06,13.3,-1.84,0.91,0.7,97.37,16.7,0.5,7.81
OSVNX,Large Value,2,1,4,195540000,0.143,0.0539,6,2,0.4086,-0.471,0.1423,-0.1298,0.1626,0.0907,0.0539,0.0625,0.95,99.06,0,0,26.35,12.91,1.68,1.22,6.57," 47,630.00 ",0.0953,0,7.24,18.83,1.71,12.48,12.01,7.6,6.03,13.15,9.01,11.94,0.4086,-0.471,-9.31,1.21,0.82,93.9,15.46,0.63,7.45,-5.31,1.16,0.64,93.4,21.64,0.35,4.56
OTCIX,Mid-Cap Growth,4,1,4,1390000000,0.2544,0.1042,11,4,0.7885,-0.51,0.326,-0.23,0.2754,0.166,0.1042,0.0611,1.97,98.03,0,0,16.25,23.44,3.54,2.12,13.98," 9,110.00 ",0.2559,2.94,25.94,6.97,3.6,1.52,15.31,0,3.44,5.86,16.69,17.73,0.7885,-0.51,-0.46,1.06,1.37,86.48,14.17,1.15,15.56,-0.16,1.12,1.03,88.12,21.53,0.57,9.22
OTCNX,Large Growth,3,4,3,4850000000,0.1656,0.0779,8,3,0.434,-0.4607,0.1527,-0.1314,0.1424,0.1277,0.0779,0.0503,1.77,98.23,0,0,27.93,19.24,2.99,2.17,12.31," 44,560.00 ",0.2196,2.36,22.25,7.17,0,7.38,16.48,0,0,4.81,10.21,29.33,0.434,-0.4607,-3.36,1.02,1.08,93.45,13.13,0.98,12.41,-2.07,1.02,0.79,91.67,19.32,0.48,7.49
